nutrient,none,current,improved,aligned,aligned_plus,expanded,prevented1,prevented2,prevented3,prevented4,prevented5
Iodine,3.781835154,0.472591808,0.219997764,0.463025583,0.214482189,0.043696107,3.309243345,3.561837389,3.318809571,3.567352965,3.738139047
Iron,4.903309619,3.527902145,2.80732227,3.489753059,2.579795658,1.760299632,1.375407474,2.095987349,1.41355656,2.323513961,3.143009987
Folate,4.049615238,3.428244436,2.779868329,3.229859959,1.718026815,0.838093104,0.621370802,1.269746909,0.819755279,2.331588423,3.211522134
Zinc,3.479995132,3.141904907,2.524268745,2.920940363,1.853885632,0.899604073,0.338090225,0.955726387,0.559054769,1.6261095,2.58039106
Thiamin,2.23486847,1.950379782,1.336306745,1.809002421,1.209531181,0.66904821,0.284488688,0.898561724,0.425866048,1.025337289,1.56582026
Vitamin A,3.625850752,3.376440066,2.2948945,3.319200082,1.646308644,0.927153528,0.249410686,1.330956252,0.30665067,1.979542108,2.698697224
Riboflavin,4.109652508,3.873182072,3.201616843,3.838669303,2.921201275,2.323823576,0.236470436,0.908035665,0.270983205,1.188451233,1.785828932
Niacin,1.673207045,1.513066314,1.254000062,1.444476622,1.111658837,0.827861273,0.160140732,0.419206983,0.228730423,0.561548208,0.845345772
Vitamin B6,3.880233546,3.73120875,3.340984679,3.660413586,3.024471022,1.744305438,0.149024796,0.539248867,0.21981996,0.855762524,2.135928108
Vitamin B12,2.964174753,2.841338919,2.670740703,2.648774557,1.968732311,1.338198113,0.122835833,0.293434049,0.315400196,0.995442442,1.62597664
Calcium,5.032250176,4.936440713,4.496318886,4.920158672,4.461442887,3.85855096,0.095809463,0.53593129,0.112091504,0.570807289,1.173699216
Vitamin E,5.06369517,5.063384753,4.720057481,5.063384753,4.720057481,4.720057481,0.000310417,0.343637689,0.000310417,0.343637689,0.343637689
Selenium,1.008649482,1.00836588,0.997417802,1.00836588,0.997417802,0.997417802,0.000283602,0.01123168,0.000283602,0.01123168,0.01123168
